# Kosta mnogo smqta
5173 = "Lizyu"
167 = "Ruen"
1879 = "Alenson"
3073 = "Evryu"
3646 = "Yu"
87 = "Kale"
#
# Picardy
#
3024 = "Pontyu"
3023 = "Sen-Omer"
89 = "Amin"
88 = "Artoa"
#
# Poitou & Bordeaux
#
4386 = "Fontene"
3077 = "Partene"
4111 = "Ouni"
5160 = "Sentonye"
5140 = "Nyorte"
180 = "Ho-Puitu"
174 = "Bordo"
3324 = "Buh"
3648 = "Baza"
3081 = "Azhene"
194 = "Perigord"
4387 = "Angume"
3083 = "Albre"
173 = "Laburd"
7643 = "Dolna Navara"
176 = "Bearn"
3647 = "Baks"
175 = "Armanyak"
3328 = "Bigore"
#
# Loire, Burgundy, Franche-Comté, Champagne, Trois-Évêchés & Lorraine
#
5171 = "Laval"
178 = "Anzhu"
177 = "Lyu Men"
5172 = "Turen"
3075  = "Dyunoa"
4389 = "Shatoroa"
4776 = "Blezoa"
184 = "Orleane"
3018 = "Lyu Shatre"
179 = "Beri"
191 = "Niverne"
1877 = "Sharole"
5143 = "Lyu Kruzo"
4392 = "Makon"
192 = "Dizhon"
5144 = "Ozeroa"
3007 = "Sen"
4390 = "Troye"
3136 = "Langre"
3071 = "Shalon"
186 = "Rem"
3070 = "Laon"
181 = "Redel"
4766 = "Verdyun"
3650 = "Bri"
3651 = "Tul"
188 = "Mets"
187 = "Baroa"
189 = "Loren"
4791 = "Epinal"
4790 = "Lyunvil"
3653 = "Salm"
3652 = "Sarbo"
4764 = "Zhura"
193 = "Dol"
3132 = "Bezankon"
3130 = "Monbelyard"
3092 = "Vezul"
#
# Southern France & Mediterranean Coast
#
4697 = "Lyu Marshe"
195 = "Limuzin"
3022 = "Tul"
4112 = "Kersi"
3087 = "Orilyak"
198 = "Royorzhe"
196 = "Tuluz"
4694 = "Foa"
4695 = "Karkazon"
2753 = "Narbon"
200 = "Monpelyer"
3085 = "Nim"
3223 = "Gevodan"
4391 = "Vele"
203 = "Lion"
3004 = "Vien"
3089 = "Valens"
204 = "Grenuble"
3332 = "Embrun"
202 = "Avinyon"
3331 = "Arle"
201 = "Provans"
2991 = "Forkalkiyer"
4696 = "Tulon"
